name,category,score,tier,languages,size_mb
crypto-automa-pilot,Trading Bots & Crypto,63,A,"JS/TS;HTML",2.0
crypto-command-center-lovable,Trading Bots & Crypto,63,A,"JS/TS;HTML",1.7
cryptoai-tradeflow-nexus,Trading Bots & Crypto,63,A,"JS/TS;HTML",3.3
fusion-trading-vision-42,Trading Bots & Crypto,63,A,"JS/TS;HTML",2.6
local-ai-packaged,Local & Self-Hosted AI,63,A,"Python",4.1
lovable-evolved-fusion-core,Trading Bots & Crypto,63,A,"JS/TS;HTML",2.2
lovebolt-zero-clone,AI App Builders & No-Code,63,A,"JS/TS;HTML",1.0
marvel-ai-trading-hub-53,Trading Bots & Crypto,63,A,"JS/TS;HTML",2.0
onthereg-vscode-extension,Developer Tools,63,A,"JS/TS",0.0
project-genesis-ai,Project Management,63,A,"JS/TS;HTML",1.1
social-boost-circle-09963,Social Media Tools,63,A,"JS/TS;HTML",2.3
solana-trading-bot-v2,Trading Bots & Crypto,63,A,"JS/TS",0.7
superclaude,LLM APIs & Backends,63,A,"JS/TS",0.1
superclaudezz,Uncategorized,63,A,"JS/TS",0.1
vibelog,AI Frameworks & Agents,63,A,"Python",0.1
woodsai69rme_find-your-funds,AI App Builders & No-Code,63,A,"JS/TS;HTML",0.9
woodsai69rme_firefox-fav-flow,Browser Tools & Extensions,63,A,"JS/TS;HTML",1.0
woodsai69rme_mind-weaver,AI App Builders & No-Code,63,A,"JS/TS;HTML",1.1
woodsai69rme_ndis-assistant-ai,AI App Builders & No-Code,63,A,"JS/TS;HTML",1.2
woodsai69rme_newcrypto,Trading Bots & Crypto,63,A,"JS/TS;HTML",1.1
woodsai69rme_phantom-profit-platform,Trading Bots & Crypto,63,A,"JS/TS;HTML",1.1
woodsai69rme_project-brain-forge,Knowledge Management,63,A,"JS/TS;HTML",1.6
woodsai69rme_project-phoenix-rise,AI App Builders & No-Code,63,A,"JS/TS;HTML",1.1
woodsai69rme_prompt-playground,AI App Builders & No-Code,63,A,"JS/TS;HTML",1.4
woodsai69rme_scrape-smart-guide,AI App Builders & No-Code,63,A,"JS/TS;HTML",1.3
woodsai69rme_universal-mobile-unlock-suite,Uncategorized,63,A,"JS/TS",0.9
woodsai69rme_visionforge-studio,Uncategorized,63,A,"JS/TS;HTML",0.9
woodsai69rme_web-analyst-mirror,Analytics & Insights,63,A,"JS/TS;HTML",1.1
woodsai69rme_zeroone-autonomy-forge,AI App Builders & No-Code,63,A,"JS/TS;HTML",1.1
ai-dev-team,Uncategorized,60,A,"JS/TS;HTML",0.9
ai-music-director,Uncategorized,60,A,"JS/TS;HTML",1.2
ai-pulse-hub,Uncategorized,60,A,"JS/TS;HTML",0.9
aud-ai-saver,Empty/Low Quality,60,A,"JS/TS",1.1
aus-ai-ascend,Uncategorized,60,A,"JS/TS;HTML",1.0
auto-researcher-pro,Uncategorized,60,A,"JS/TS;HTML",0.9
chatsortold,Uncategorized,60,A,"JS/TS",1.0
crypto-navigator-ai,Trading Bots & Crypto,60,A,"JS/TS;HTML",1.4
gvie-launchpad,Uncategorized,60,A,"JS/TS;HTML",0.9
ndis-flow,Healthcare & Fitness,60,A,"JS/TS;HTML",1.2
socmedia,Social Media Tools,60,A,"JS/TS;HTML",0.7
vidmuse-studio,Uncategorized,60,A,"JS/TS;HTML",0.9
ai-browser-playground-nexus,AI Applications,58,A,"JS/TS;HTML",1.1
ai-command-center-nexus,Dashboards & Admin Panels,58,A,"JS/TS;HTML",1.3
ai-deal-seeker-pro,Uncategorized,58,A,"JS/TS;HTML",1.6
ai-deals-master,Trading Bots & Crypto,58,A,"JS/TS;HTML",1.4
ai-deals-nexus,AI App Builders & No-Code,58,A,"JS/TS;HTML",0.8
ai-dev-command-1,AI App Builders & No-Code,58,A,"JS/TS;HTML",1.7
ai-dev-command-41725,AI App Builders & No-Code,58,A,"JS/TS;HTML",1.1
ai-dev-flow-41,AI App Builders & No-Code,58,A,"JS/TS;HTML",0.8
ai-hub-command-center,AI App Builders & No-Code,58,A,"JS/TS;HTML",1.5
ai-navigator-hub,AI App Builders & No-Code,58,A,"JS/TS;HTML",1.2
ai-navigator-pro,AI App Builders & No-Code,58,A,"JS/TS;HTML",0.6
ai-nexus-command-center-13,Dashboards & Admin Panels,58,A,"JS/TS;HTML",1.1
ai-nexus-project-hub,Project Management,58,A,"JS/TS;HTML",0.9
ai-ops-nexus-hub,Analytics & Insights,58,A,"JS/TS;HTML",1.5
ai-phone-farm-platform,Uncategorized,58,A,"JS/TS",1.4
ai-pilot-house,AI App Builders & No-Code,58,A,"JS/TS;HTML",1.1
ai-pilot-station,AI App Builders & No-Code,58,A,"JS/TS;HTML",1.1
